Year,Month,Season,SST_Total,ONI_Anomaly,Mean_Amplitude,Std_Amplitude,SEM_Amplitude,RMS_Amplitude,Active_Days,Total_Days,Active_Pct,MC_Phase45_Days,Mean_RMM1,Mean_RMM2
2007,3,FMA,27.22,-0.12,1.321150566451613,0.6443231818643738,0.11572385968160347,1.4653324435852912,18.0,31.0,58.064516129032256,4.0,0.7497851686096774,0.9286768467741937
2007,4,MAM,27.41,-0.32,0.8067391546666667,0.38390631466358216,0.0700913828366401,0.8906735205241642,12.0,30.0,40.0,0.0,-0.45731462207,0.01259183424999997
2007,5,AMJ,27.54,-0.34,1.2340057027322577,0.713349512987846,0.12812135473083489,1.419585334003443,16.0,31.0,51.61290322580645,1.0,-0.6023309765677419,0.1336003790064516
2007,6,MJJ,27.27,-0.41,1.3529915246666664,0.32482179984184123,0.05930407564760148,1.3901720375852438,25.0,30.0,83.33333333333333,8.0,0.03695088196999999,-0.5762841981719998
2007,7,JJA,26.84,-0.49,1.3795319935483872,0.7114105244098673,0.12777310210166054,1.546896082432181,20.0,31.0,64.51612903225806,0.0,-0.6591500435319354,-0.16700990371935484
2007,8,JAS,26.22,-0.77,0.8762567774193549,0.4595004237776098,0.08252871239400868,0.9859795084360237,11.0,31.0,35.483870967741936,0.0,-0.22479281056774195,-0.5642095683903225
2007,9,ASO,25.75,-1.05,1.1761283893333332,0.33683036722344917,0.06149653006034395,1.2218636835875931,21.0,30.0,70.0,17.0,0.7918687607866667,0.14655561653666668
2007,10,SON,25.38,-1.38,1.2009301141935484,0.4595866897391817,0.08254420621809143,1.2832145255498684,18.0,31.0,58.064516129032256,3.0,-0.5123129247903226,0.2981573432612904
2007,11,OND,25.15,-1.57,1.5889342370000004,0.8698880858526096,0.15881910904215493,1.8044926661037295,18.0,30.0,60.0,4.0,0.45727469766666684,1.0635493472366666
2007,12,NDJ,24.95,-1.72,2.0751771258064515,0.5403610801390862,0.09705171500189491,2.142179069315774,31.0,31.0,100.0,10.0,-0.06172681972258064,-1.0270569306709678
2015,1,DJF,27.28,0.73,1.595519382903226,0.7724470155510523,0.13873557952772766,1.767231997228073,23.0,31.0,74.19354838709677,8.0,0.5511057403322581,1.1414397964580647
2015,2,JFM,27.43,0.65,0.8730502682142857,0.3949144351536478,0.07463181318329257,0.9553032368744153,13.0,28.0,46.42857142857143,0.0,-0.18621894428571426,0.6619193020428572
2015,3,FMA,27.95,0.72,2.5235438870967744,1.1250291972723894,0.20206120876504763,2.755564499831434,29.0,31.0,93.54838709677419,7.0,-0.7758147538709679,0.9195735446645159
2015,4,MAM,28.49,0.86,0.9544394936666666,0.5145204138302193,0.09393814565056804,1.0802136955762207,13.0,30.0,43.333333333333336,0.0,0.035087555146666685,-0.7018380850406666
2015,5,AMJ,28.83,1.04,0.751002624516129,0.35499514764336865,0.06375901071052678,0.8282277980324411,6.0,31.0,19.35483870967742,0.0,-0.483707661016129,0.24753043929677426
2015,6,MJJ,28.82,1.19,1.9929203833333333,0.49478374528552543,0.09033473945992422,2.0514341919132963,30.0,30.0,100.0,11.0,0.2611099226,-0.6273238446
2015,7,JJA,28.73,1.44,1.8379903345161288,1.2051312563193162,0.21644796327313748,2.1871671390013603,22.0,31.0,70.96774193548387,0.0,-0.8007875855064516,0.9579883016741937
2015,8,JAS,28.69,1.73,0.8428048241935484,0.25376372700629296,0.04557731083240531,0.8789986971351713,8.0,31.0,25.806451612903224,0.0,-0.38151900383225806,0.4967828285967741
2015,9,ASO,28.79,2.02,0.6297751352800002,0.3587972014447509,0.06550710693367175,0.7218455317605754,5.0,30.0,16.666666666666668,0.0,-0.40975973642666674,0.10049515714333336
2015,10,SON,28.99,2.28,1.5348366948387098,1.001991083742642,0.17996291122373273,1.8240951626236632,15.0,31.0,48.38709677419355,0.0,-0.9814856670967742,-0.583368740716129
2015,11,OND,29.1,2.45,1.8664467500000002,0.3934842547967578,0.07184006745843154,1.906119706121861,30.0,30.0,100.0,1.0,0.29269114173166666,-1.7439856193333334
2015,12,NDJ,29.15,2.59,1.905701525483871,0.676536996379513,0.12150963156702957,2.018572768353475,27.0,31.0,87.09677419354838,15.0,1.277375299032258,0.1980840006548387
2016,1,DJF,29.05,2.5,1.397440465735484,0.6774152378100204,0.12166736838440828,1.548201637759961,25.0,31.0,80.64516129032258,6.0,-0.23628268208387104,0.08935048187870968
2016,2,JFM,28.99,2.21,2.0595920172413793,0.4867574428092373,0.0903885879526583,2.114398729847927,29.0,29.0,100.0,14.0,0.48967816665172414,1.008407021737931
